종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
109860,동일금속,KOSDAQ,우량기업부,11820,-150,-1.25,11890,11950,11750,65673,775768130,1.07562E+11,9100000
32960,동일기연,KOSDAQ,중견기업부,12320,-220,-1.75,12360,12510,12100,29664,364222950,46895944480,3806489
4890,동일산업,KOSPI,,58900,-400,-0.67,59300,59700,58600,8739,515845100,1.42845E+11,2425215
2690,동일제강,KOSPI,,1909,-20,-1.04,1911,1929,1900,26797,51123909,38753387240,20300360
23790,동일철강,KOSDAQ,중견기업부,1898,-65,-3.31,1906,1950,1892,22348,42797731,30338478508,15984446
5290,동진쎄미켐,KOSDAQ,우량기업부,36450,-1400,-3.7,38150,38250,36250,980063,36112871950,1.87406E+12,51414494
25900,동화기업,KOSDAQ,우량기업부,37300,-300,-0.8,37650,38100,37100,30088,1127903650,7.54034E+11,20215395
20,동화약품,KOSPI,,10080,-80,-0.79,10160,10320,10050,60036,610481460,2.81549E+11,27931470
150,두산,KOSPI,,109700,2200,2.05,107000,112000,106000,353931,38746763300,1.81266E+12,16523835
157,두산2우B,KOSPI,,94200,-1000,-1.05,93400,96600,93400,1881,178162300,84124179600,893038
241560,두산밥캣,KOSPI,,57000,1600,2.89,55300,57800,55300,571847,32491694700,5.7142E+12,100249166
34020,두산에너빌리티,KOSPI,,16760,-40,-0.24,16830,17060,16680,2879621,48449316200,1.07358E+13,640561146
155,두산우,KOSPI,,56300,-200,-0.35,56000,56900,55500,5480,308862000,2.25001E+11,3996462
131970,두산테스나,KOSDAQ,우량기업부,44700,-100,-0.22,45250,45800,44150,129486,5791237500,6.59753E+11,14759577
336260,두산퓨얼셀,KOSPI,,25500,-650,-2.49,26500,27400,25400,368687,9568450450,1.67009E+12,65493726
33626K,두산퓨얼셀1우,KOSPI,,8160,-240,-2.86,8590,8590,8160,15020,124917940,1.09052E+11,13364200
33626L,두산퓨얼셀2우B,KOSPI,,9980,-10,-0.1,10470,10510,9430,11992,119280330,29803274000,2986300
16740,두올,KOSPI,,3530,-60,-1.67,3570,3630,3520,136729,487116200,1.16725E+11,33066680
73190,듀오백,KOSDAQ,중견기업부,2320,5,0.22,2315,2325,2275,35372,81423995,27765852800,11968040
176750,듀켐바이오,KONEX,일반기업부,6060,60,1,6240,6240,5940,3682,22020000,1.63773E+11,27025220
30350,드래곤플라이,KOSDAQ,중견기업부,493,-22,-4.27,515,521,488,482370,242148164,34208763689,69388973
203650,드림시큐리티,KOSDAQ,벤처기업부,3095,-35,-1.12,3115,3450,3060,3934936,12915962455,1.56625E+11,50605754
223250,드림씨아이에스,KOSDAQ,중견기업부,13900,200,1.46,13700,14080,13380,41843,577737390,82389748000,5927320
60570,드림어스컴퍼니,KOSDAQ,중견기업부,3200,-85,-2.59,3240,3360,3195,124480,403923410,1.81952E+11,56859847
192650,드림텍,KOSPI,,13380,800,6.36,12880,13990,12700,3404440,45820955520,8.88614E+11,66413587
217620,디딤이앤에프,KOSDAQ,중견기업부,1098,-41,-3.6,1135,1148,1054,2445368,2716194702,58398233490,53186005
16670,디모아,KOSDAQ,중견기업부,373,-20,-5.09,387,394,371,442228,168756620,37993042952,101858024
187870,디바이스이엔지,KOSDAQ,우량기업부,14020,-370,-2.57,14530,14700,14010,28822,409841070,98653258180,7036609
66670,디스플레이텍,KOSDAQ,우량기업부,6150,-250,-3.91,6370,6390,6080,131739,811924380,1.14955E+11,18691918
24090,디씨엠,KOSPI,,11980,10,0.08,11970,12200,11730,4299,51656990,1.36572E+11,11400000
3160,디아이,KOSPI,,7590,-290,-3.68,7850,7900,7590,101028,782248280,2.14797E+11,28300000
92200,디아이씨,KOSPI,,5050,65,1.3,4965,5080,4840,588093,2922872830,1.96387E+11,38888569
110990,디아이티,KOSDAQ,우량기업부,11350,-700,-5.81,12450,12580,11210,676811,7993574090,2.14515E+11,18900000
78590,디아크,KOSDAQ,관리종목(소속부없음),2380,0,0,0,0,0,0,0,3.16557E+11,133006958
263690,디알젬,KOSDAQ,우량기업부,10820,-180,-1.64,10980,11240,10810,19530,214943400,1.22543E+11,11325610
214680,디알텍,KOSDAQ,벤처기업부,2950,-160,-5.14,3160,3160,2930,2456300,7412154750,2.13361E+11,72325687
377190,디앤디플랫폼리츠,KOSPI,,3030,-40,-1.3,3070,3070,3005,74361,224734150,1.95132E+11,64400000
263720,디앤씨미디어,KOSDAQ,중견기업부,18170,-380,-2.05,18790,18790,18130,51771,949184130,2.23039E+11,12275111
376300,디어유,KOSDAQ,기술성장기업부,35200,-650,-1.81,36350,36400,34950,86292,3048334700,8.35592E+11,23738406
141020,디에스앤엘,KOSDAQ,관리종목(소속부없음),3735,0,0,0,0,0,0,0,43701490755,11700533
109740,디에스케이,KOSDAQ,벤처기업부,5000,100,2.04,4880,5030,4880,29221,144729610,1.35125E+11,27024910
196490,디에이테크놀로지,KOSDAQ,벤처기업부,4645,1070,29.93,3575,4645,3550,12873277,57483655440,1.51421E+11,32598736
66900,디에이피,KOSDAQ,우량기업부,3555,-130,-3.53,3685,3700,3530,66873,240040350,80856708165,22744503
127120,디엔에이링크,KOSDAQ,투자주의환기종목(소속부없음),3440,65,1.93,3335,3455,3315,59223,201534125,58802300480,17093692
92070,디엔에프,KOSDAQ,우량기업부,26250,-600,-2.23,26850,27250,25800,236977,6288441400,3.03761E+11,11571858
39840,디오,KOSDAQ,우량기업부,29700,300,1.02,29500,29950,28700,103811,3042658600,4.71688E+11,15881755
13570,디와이,KOSPI,,5700,-150,-2.56,5900,5910,5690,91350,527433260,1.50022E+11,26319633
219550,디와이디,KOSDAQ,중견기업부,1224,-48,-3.77,1276,1281,1220,809461,1008843564,63998608680,52286445
310870,디와이씨,KOSDAQ,벤처기업부,1885,32,1.73,1840,1919,1831,95941,180783863,38995505835,20687271
210540,디와이파워,KOSPI,,14370,280,1.99,14090,14370,13890,99302,1407138700,1.58669E+11,11041708
104460,디와이피엔에프,KOSDAQ,우량기업부,22550,-100,-0.44,22300,22600,21600,118347,2597349050,2.41592E+11,10713625
79810,디이엔티,KOSDAQ,중견기업부,31150,2750,9.68,28650,31550,27550,446261,13100872050,4.98711E+11,16009994
113810,디젠스,KOSDAQ,중견기업부,1051,-40,-3.67,1085,1096,1046,375858,398897473,34292081601,32628051
43360,디지아이,KOSDAQ,벤처기업부,2940,-40,-1.34,2980,3040,2905,26913,79969065,26460000000,9000000
197140,디지캡,KOSDAQ,벤처기업부,5190,10,0.19,5080,5280,5010,131846,678878380,49724632260,9580854
68930,디지털대성,KOSDAQ,우량기업부,5800,-80,-1.36,5820,5950,5800,23934,139959420,1.63274E+11,28150741
33130,디지틀조선,KOSDAQ,중견기업부,2005,-15,-0.74,2010,2030,1998,71257,142842211,74416110335,37115267
105740,디케이락,KOSDAQ,우량기업부,11690,310,2.72,11500,11900,11350,277576,3246079900,1.14949E+11,9833105
263020,디케이앤디,KOSDAQ,벤처기업부,3225,35,1.1,3180,3280,3135,60018,190472025,50072652900,15526404
290550,디케이티,KOSDAQ,우량기업부,9660,300,3.21,9350,9750,9350,49222,474632780,1.80336E+11,18668371
